108960,51,תל אביב ,5000,תל אביב - יפו ,101 ,רדינג ,official ,101
108961,51,תל אביב ,5000,תל אביב - יפו ,9521 ,רידינג ,synonym of 101 ,101
108962,51,תל אביב ,5000,תל אביב - יפו ,102 ,בן הלל מרדכי ,official ,102
108963,51,תל אביב ,5000,תל אביב - יפו ,9522 ,זמורות ,synonym of 102 ,102
108964,51,תל אביב ,5000,תל אביב - יפו ,9523 ,בן הלל ,synonym of 102 ,102
108965,51,תל אביב ,5000,תל אביב - יפו ,103 ,הררי ,official ,103
108966,51,תל אביב ,5000,תל אביב - יפו ,9524 ,ערוגות ,synonym of 103 ,103
108967,51,תל אביב ,5000,תל אביב - יפו ,105 ,קרני יהודה ,official ,105
108968,51,תל אביב ,5000,תל אביב - יפו ,9525 ,יהודה קרני ,synonym of 105 ,105
108969,51,תל אביב ,5000,תל אביב - יפו ,9526 ,קרני ,synonym of 105 ,105
108970,51,תל אביב ,5000,תל אביב - יפו ,106 ,שמעוני ,official ,106
108971,51,תל אביב ,5000,תל אביב - יפו ,9527 ,שמעוני דוד ,synonym of 106 ,106
108972,51,תל אביב ,5000,תל אביב - יפו ,9528 ,דוד שמעוני ,synonym of 106 ,106
108973,51,תל אביב ,5000,תל אביב - יפו ,107 ,פיכמן ,official ,107
108974,51,תל אביב ,5000,תל אביב - יפו ,9529 ,ב אבות ר אבי ,synonym of 107 ,107
108975,51,תל אביב ,5000,תל אביב - יפו ,9530 ,פיכמן ב הור ,synonym of 107 ,107
108976,51,תל אביב ,5000,תל אביב - יפו ,9531 ,פיכמן ב אבו ,synonym of 107 ,107
108977,51,תל אביב ,5000,תל אביב - יפו ,108 ,הברון הירש ,official ,108
108978,51,תל אביב ,5000,תל אביב - יפו ,9532 ,ברון הירש ,synonym of 108 ,108
108979,51,תל אביב ,5000,תל אביב - יפו ,9533 ,הירש ,synonym of 108 ,108
108980,51,תל אביב ,5000,תל אביב - יפו ,9534 ,בארון הירש ,synonym of 108 ,108
108981,51,תל אביב ,5000,תל אביב - יפו ,109 ,בלום ליאון ,official ,109
108982,51,תל אביב ,5000,תל אביב - יפו ,9535 ,בלום לאון ,synonym of 109 ,109
108983,51,תל אביב ,5000,תל אביב - יפו ,9536 ,שדרות בלום ,synonym of 109 ,109
108984,51,תל אביב ,5000,תל אביב - יפו ,9537 ,בלום ,synonym of 109 ,109
108985,51,תל אביב ,5000,תל אביב - יפו ,9538 ,בלום שדרות ,synonym of 109 ,109
108986,51,תל אביב ,5000,תל אביב - יפו ,9539 ,שד בלום ,synonym of 109 ,109
108987,51,תל אביב ,5000,תל אביב - יפו ,9540 ,ליאון בלום ,synonym of 109 ,109
108988,51,תל אביב ,5000,תל אביב - יפו ,9541 ,לאון בלום ,synonym of 109 ,109
108989,51,תל אביב ,5000,תל אביב - יפו ,110 ,ברש אשר ,official ,110
108990,51,תל אביב ,5000,תל אביב - יפו ,9542 ,ברש ,synonym of 110 ,110
108991,51,תל אביב ,5000,תל אביב - יפו ,111 ,ברודצקי ,official ,111
108992,51,תל אביב ,5000,תל אביב - יפו ,9543 ,ברודצקי ב א ,synonym of 111 ,111
108993,51,תל אביב ,5000,תל אביב - יפו ,9544 ,ב ברודצקי ,synonym of 111 ,111
108994,51,תל אביב ,5000,תל אביב - יפו ,9545 ,בית ברודסקי ,synonym of 111 ,111
108995,51,תל אביב ,5000,תל אביב - יפו ,9546 ,מעון ברודצקי ,synonym of 111 ,111
108996,51,תל אביב ,5000,תל אביב - יפו ,9547 ,בית ברודצקי ,synonym of 111 ,111
108997,51,תל אביב ,5000,תל אביב - יפו ,9548 ,ברדצקי ,synonym of 111 ,111
108998,51,תל אביב ,5000,תל אביב - יפו ,112 ,נח ,official ,112
108999,51,תל אביב ,5000,תל אביב - יפו ,9549 ,נוח ,synonym of 112 ,112
109000,51,תל אביב ,5000,תל אביב - יפו ,9550 ,נח מרדכי עמנואל ,synonym of 112 ,112
109001,51,תל אביב ,5000,תל אביב - יפו ,9551 ,עמנואל נח ,synonym of 112 ,112
109002,51,תל אביב ,5000,תל אביב - יפו ,9552 ,נח מרדכי ,synonym of 112 ,112
109003,51,תל אביב ,5000,תל אביב - יפו ,9553 ,נח עמנואל מרדכי ,synonym of 112 ,112
109004,51,תל אביב ,5000,תל אביב - יפו ,9554 ,נח עמנואל ,synonym of 112 ,112
109005,51,תל אביב ,5000,תל אביב - יפו ,113 ,לחובר ,official ,113
109006,51,תל אביב ,5000,תל אביב - יפו ,114 ,סלואדור ,official ,114
109007,51,תל אביב ,5000,תל אביב - יפו ,9555 ,סלבדור ,synonym of 114 ,114
109008,51,תל אביב ,5000,תל אביב - יפו ,115 ,הרטגלס ,official ,115
109009,51,תל אביב ,5000,תל אביב - יפו ,116 ,לבנון חיים ,official ,116
109010,51,תל אביב ,5000,תל אביב - יפו ,9556 ,ש סטודנטים ,synonym of 116 ,116
109011,51,תל אביב ,5000,תל אביב - יפו ,9557 ,לבנון ,synonym of 116 ,116
109012,51,תל אביב ,5000,תל אביב - יפו ,9558 ,חיים לבנון ,synonym of 116 ,116
109013,51,תל אביב ,5000,תל אביב - יפו ,117 ,גרונימן ,official ,117
109014,51,תל אביב ,5000,תל אביב - יפו ,9559 ,גרונמן ,synonym of 117 ,117
109015,51,תל אביב ,5000,תל אביב - יפו ,118 ,כפר יונה ,official ,118
